"week_numeric","year_week","department","admissions"
1428,"2023-W48","Pediatrics",40
1435,"2023-W49","Pediatrics",38
1442,"2023-W50","Pediatrics",42
1449,"2023-W51","Pediatrics",32
1456,"2023-W52","Pediatrics",36
0,"2020-W01","Maternity",30
7,"2020-W02","Maternity",31
14,"2020-W03","Maternity",37
21,"2020-W04","Maternity",36
28,"2020-W05","Maternity",45
35,"2020-W06","Maternity",47
42,"2020-W07","Maternity",52
49,"2020-W08","Maternity",60
56,"2020-W09","Maternity",66
63,"2020-W10","Maternity",68
70,"2020-W11","Maternity",72
77,"2020-W12","Maternity",72
84,"2020-W13","Maternity",77
91,"2020-W14","Maternity",73
98,"2020-W15","Maternity",65
105,"2020-W16","Maternity",63
112,"2020-W17","Maternity",56
119,"2020-W18","Maternity",48
126,"2020-W19","Maternity",46
133,"2020-W20","Maternity",39
140,"2020-W21","Maternity",38
147,"2020-W22","Maternity",32
154,"2020-W23","Maternity",33
161,"2020-W24","Maternity",27
168,"2020-W25","Maternity",28
175,"2020-W26","Maternity",27
182,"2020-W27","Maternity",26
189,"2020-W28","Maternity",25
196,"2020-W29","Maternity",24
203,"2020-W30","Maternity",23
210,"2020-W31","Maternity",27
217,"2020-W32","Maternity",26
224,"2020-W33","Maternity",22
231,"2020-W34","Maternity",28
238,"2020-W35","Maternity",26
245,"2020-W36","Maternity",26
252,"2020-W37","Maternity",30
259,"2020-W38","Maternity",31
266,"2020-W39","Maternity",35
273,"2020-W40","Maternity",35
280,"2020-W41","Maternity",38
287,"2020-W42","Maternity",46
294,"2020-W43","Maternity",48
301,"2020-W44","Maternity",45
308,"2020-W45","Maternity",47
315,"2020-W46","Maternity",54
322,"2020-W47","Maternity",54
329,"2020-W48","Maternity",46
336,"2020-W49","Maternity",43
343,"2020-W50","Maternity",51
350,"2020-W51","Maternity",42
357,"2020-W52","Maternity",40
364,"2020-W53","Maternity",37
371,"2021-W01","Maternity",39
378,"2021-W02","Maternity",33
385,"2021-W03","Maternity",36
392,"2021-W04","Maternity",31
399,"2021-W05","Maternity",32
406,"2021-W06","Maternity",28
413,"2021-W07","Maternity",30
420,"2021-W08","Maternity",33
427,"2021-W09","Maternity",30
434,"2021-W10","Maternity",33
441,"2021-W11","Maternity",37
448,"2021-W12","Maternity",33
455,"2021-W13","Maternity",30
462,"2021-W14","Maternity",31
469,"2021-W15","Maternity",30
476,"2021-W16","Maternity",37
483,"2021-W17","Maternity",25
490,"2021-W18","Maternity",33
497,"2021-W19","Maternity",35
504,"2021-W20","Maternity",38
511,"2021-W21","Maternity",37
518,"2021-W22","Maternity",45
525,"2021-W23","Maternity",48
532,"2021-W24","Maternity",53
539,"2021-W25","Maternity",53
546,"2021-W26","Maternity",56
553,"2021-W27","Maternity",50
560,"2021-W28","Maternity",50
567,"2021-W29","Maternity",48
574,"2021-W30","Maternity",44
581,"2021-W31","Maternity",37
588,"2021-W32","Maternity",39
595,"2021-W33","Maternity",30
602,"2021-W34","Maternity",24
609,"2021-W35","Maternity",26
616,"2021-W36","Maternity",25
623,"2021-W37","Maternity",24
630,"2021-W38","Maternity",19
637,"2021-W39","Maternity",20
644,"2021-W40","Maternity",18
651,"2021-W41","Maternity",24
658,"2021-W42","Maternity",24
665,"2021-W43","Maternity",27
672,"2021-W44","Maternity",29
679,"2021-W45","Maternity",29
686,"2021-W46","Maternity",35
693,"2021-W47","Maternity",34
700,"2021-W48","Maternity",44
707,"2021-W49","Maternity",50
714,"2021-W50","Maternity",48
721,"2021-W51","Maternity",47
728,"2021-W52","Maternity",49
735,"2022-W01","Maternity",49
742,"2022-W02","Maternity",53
749,"2022-W03","Maternity",46
756,"2022-W04","Maternity",40
763,"2022-W05","Maternity",41
770,"2022-W06","Maternity",31
777,"2022-W07","Maternity",34
784,"2022-W08","Maternity",35
791,"2022-W09","Maternity",31
798,"2022-W10","Maternity",34
805,"2022-W11","Maternity",35
812,"2022-W12","Maternity",27
819,"2022-W13","Maternity",27
826,"2022-W14","Maternity",28
833,"2022-W15","Maternity",31
840,"2022-W16","Maternity",32
847,"2022-W17","Maternity",32
854,"2022-W18","Maternity",32
861,"2022-W19","Maternity",31
868,"2022-W20","Maternity",30
875,"2022-W21","Maternity",28
882,"2022-W22","Maternity",25
889,"2022-W23","Maternity",24
896,"2022-W24","Maternity",27
903,"2022-W25","Maternity",29
910,"2022-W26","Maternity",29
917,"2022-W27","Maternity",19
924,"2022-W28","Maternity",21
931,"2022-W29","Maternity",26
938,"2022-W30","Maternity",19
945,"2022-W31","Maternity",18
952,"2022-W32","Maternity",23
959,"2022-W33","Maternity",25
966,"2022-W34","Maternity",25
973,"2022-W35","Maternity",22
980,"2022-W36","Maternity",22
987,"2022-W37","Maternity",21
994,"2022-W38","Maternity",20
1001,"2022-W39","Maternity",12
1008,"2022-W40","Maternity",22
1015,"2022-W41","Maternity",19
1022,"2022-W42","Maternity",23
1029,"2022-W43","Maternity",19
1036,"2022-W44","Maternity",17
1043,"2022-W45","Maternity",25
1050,"2022-W46","Maternity",23
1057,"2022-W47","Maternity",31
1064,"2022-W48","Maternity",26
1071,"2022-W49","Maternity",26
1078,"2022-W50","Maternity",26
1085,"2022-W51","Maternity",23
1092,"2022-W52","Maternity",25
1099,"2023-W01","Maternity",29
1106,"2023-W02","Maternity",29
1113,"2023-W03","Maternity",29
1120,"2023-W04","Maternity",25
1127,"2023-W05","Maternity",33
1134,"2023-W06","Maternity",25
1141,"2023-W07","Maternity",28
1148,"2023-W08","Maternity",35
1155,"2023-W09","Maternity",31
1162,"2023-W10","Maternity",32
1169,"2023-W11","Maternity",31
1176,"2023-W12","Maternity",28
1183,"2023-W13","Maternity",28
1190,"2023-W14","Maternity",30
1197,"2023-W15","Maternity",22
1204,"2023-W16","Maternity",27
1211,"2023-W17","Maternity",31
1218,"2023-W18","Maternity",28
1225,"2023-W19","Maternity",28
1232,"2023-W20","Maternity",30
1239,"2023-W21","Maternity",26
1246,"2023-W22","Maternity",28
1253,"2023-W23","Maternity",23
1260,"2023-W24","Maternity",23
1267,"2023-W25","Maternity",21
1274,"2023-W26","Maternity",25
1281,"2023-W27","Maternity",23
1288,"2023-W28","Maternity",27
1295,"2023-W29","Maternity",23
1302,"2023-W30","Maternity",26
1309,"2023-W31","Maternity",27
1316,"2023-W32","Maternity",20
1323,"2023-W33","Maternity",22
1330,"2023-W34","Maternity",18
1337,"2023-W35","Maternity",22
1344,"2023-W36","Maternity",17
1351,"2023-W37","Maternity",17
1358,"2023-W38","Maternity",21
1365,"2023-W39","Maternity",20
1372,"2023-W40","Maternity",21
1379,"2023-W41","Maternity",20
1386,"2023-W42","Maternity",19
1393,"2023-W43","Maternity",21
1400,"2023-W44","Maternity",25
1407,"2023-W45","Maternity",22
1414,"2023-W46","Maternity",19
1421,"2023-W47","Maternity",21
1428,"2023-W48","Maternity",20
1435,"2023-W49","Maternity",22
1442,"2023-W50","Maternity",21
1449,"2023-W51","Maternity",18
1456,"2023-W52","Maternity",27
0,"2020-W01","Outpatient",368
7,"2020-W02","Outpatient",371
14,"2020-W03","Outpatient",395
21,"2020-W04","Outpatient",440
28,"2020-W05","Outpatient",534
35,"2020-W06","Outpatient",595
42,"2020-W07","Outpatient",671
49,"2020-W08","Outpatient",730
56,"2020-W09","Outpatient",814
63,"2020-W10","Outpatient",862
70,"2020-W11","Outpatient",902
77,"2020-W12","Outpatient",914
84,"2020-W13","Outpatient",939
91,"2020-W14","Outpatient",826
98,"2020-W15","Outpatient",852
105,"2020-W16","Outpatient",734
112,"2020-W17","Outpatient",672
119,"2020-W18","Outpatient",607
126,"2020-W19","Outpatient",526
133,"2020-W20","Outpatient",405
140,"2020-W21","Outpatient",424
147,"2020-W22","Outpatient",396
154,"2020-W23","Outpatient",312
161,"2020-W24","Outpatient",358
168,"2020-W25","Outpatient",306
175,"2020-W26","Outpatient",353
182,"2020-W27","Outpatient",307
189,"2020-W28","Outpatient",268
196,"2020-W29","Outpatient",290
203,"2020-W30","Outpatient",289
210,"2020-W31","Outpatient",307
217,"2020-W32","Outpatient",276
224,"2020-W33","Outpatient",224
231,"2020-W34","Outpatient",255
238,"2020-W35","Outpatient",282
245,"2020-W36","Outpatient",339
252,"2020-W37","Outpatient",341
259,"2020-W38","Outpatient",360
266,"2020-W39","Outpatient",386
273,"2020-W40","Outpatient",451
280,"2020-W41","Outpatient",457
287,"2020-W42","Outpatient",505
294,"2020-W43","Outpatient",519
301,"2020-W44","Outpatient",529
308,"2020-W45","Outpatient",615
315,"2020-W46","Outpatient",553
322,"2020-W47","Outpatient",592
329,"2020-W48","Outpatient",560
336,"2020-W49","Outpatient",524
343,"2020-W50","Outpatient",538
350,"2020-W51","Outpatient",513
357,"2020-W52","Outpatient",510
364,"2020-W53","Outpatient",454
371,"2021-W01","Outpatient",416
378,"2021-W02","Outpatient",478
385,"2021-W03","Outpatient",365
392,"2021-W04","Outpatient",343
399,"2021-W05","Outpatient",350
406,"2021-W06","Outpatient",359
413,"2021-W07","Outpatient",378
420,"2021-W08","Outpatient",372
427,"2021-W09","Outpatient",357
434,"2021-W10","Outpatient",335
441,"2021-W11","Outpatient",395
448,"2021-W12","Outpatient",390
455,"2021-W13","Outpatient",341
462,"2021-W14","Outpatient",385
469,"2021-W15","Outpatient",381
476,"2021-W16","Outpatient",405
483,"2021-W17","Outpatient",388
490,"2021-W18","Outpatient",365
497,"2021-W19","Outpatient",446
504,"2021-W20","Outpatient",430
511,"2021-W21","Outpatient",504
518,"2021-W22","Outpatient",578
525,"2021-W23","Outpatient",525
532,"2021-W24","Outpatient",648
539,"2021-W25","Outpatient",666
546,"2021-W26","Outpatient",620
553,"2021-W27","Outpatient",621
560,"2021-W28","Outpatient",584
567,"2021-W29","Outpatient",550
574,"2021-W30","Outpatient",538
581,"2021-W31","Outpatient",443
588,"2021-W32","Outpatient",413
595,"2021-W33","Outpatient",369
602,"2021-W34","Outpatient",331
609,"2021-W35","Outpatient",309
616,"2021-W36","Outpatient",328
623,"2021-W37","Outpatient",252
630,"2021-W38","Outpatient",232
637,"2021-W39","Outpatient",276
644,"2021-W40","Outpatient",266
651,"2021-W41","Outpatient",269
658,"2021-W42","Outpatient",293
665,"2021-W43","Outpatient",253
672,"2021-W44","Outpatient",356
679,"2021-W45","Outpatient",376
686,"2021-W46","Outpatient",438
693,"2021-W47","Outpatient",444
700,"2021-W48","Outpatient",461
707,"2021-W49","Outpatient",551
714,"2021-W50","Outpatient",579
721,"2021-W51","Outpatient",697
728,"2021-W52","Outpatient",623
735,"2022-W01","Outpatient",616
742,"2022-W02","Outpatient",626
749,"2022-W03","Outpatient",575
756,"2022-W04","Outpatient",534
763,"2022-W05","Outpatient",552
770,"2022-W06","Outpatient",443
777,"2022-W07","Outpatient",468
784,"2022-W08","Outpatient",399
791,"2022-W09","Outpatient",335
798,"2022-W10","Outpatient",304
805,"2022-W11","Outpatient",386
812,"2022-W12","Outpatient",333
819,"2022-W13","Outpatient",362
826,"2022-W14","Outpatient",412
833,"2022-W15","Outpatient",367
840,"2022-W16","Outpatient",345
847,"2022-W17","Outpatient",292
854,"2022-W18","Outpatient",321
861,"2022-W19","Outpatient",323
868,"2022-W20","Outpatient",355
875,"2022-W21","Outpatient",342
882,"2022-W22","Outpatient",322
889,"2022-W23","Outpatient",320
896,"2022-W24","Outpatient",299
903,"2022-W25","Outpatient",301
910,"2022-W26","Outpatient",301
917,"2022-W27","Outpatient",299
924,"2022-W28","Outpatient",334
931,"2022-W29","Outpatient",239
938,"2022-W30","Outpatient",310
945,"2022-W31","Outpatient",280
952,"2022-W32","Outpatient",209
959,"2022-W33","Outpatient",242
966,"2022-W34","Outpatient",228
973,"2022-W35","Outpatient",216
980,"2022-W36","Outpatient",196
987,"2022-W37","Outpatient",226
994,"2022-W38","Outpatient",227
1001,"2022-W39","Outpatient",231
1008,"2022-W40","Outpatient",180
1015,"2022-W41","Outpatient",257
1022,"2022-W42","Outpatient",269
1029,"2022-W43","Outpatient",274
1036,"2022-W44","Outpatient",278
1043,"2022-W45","Outpatient",266
1050,"2022-W46","Outpatient",310
1057,"2022-W47","Outpatient",246
1064,"2022-W48","Outpatient",242
1071,"2022-W49","Outpatient",296
1078,"2022-W50","Outpatient",306
1085,"2022-W51","Outpatient",278
1092,"2022-W52","Outpatient",308
1099,"2023-W01","Outpatient",324
1106,"2023-W02","Outpatient",333
1113,"2023-W03","Outpatient",354
1120,"2023-W04","Outpatient",362
1127,"2023-W05","Outpatient",267
1134,"2023-W06","Outpatient",397
1141,"2023-W07","Outpatient",363
1148,"2023-W08","Outpatient",336
1155,"2023-W09","Outpatient",323
1162,"2023-W10","Outpatient",385
1169,"2023-W11","Outpatient",369
1176,"2023-W12","Outpatient",392
1183,"2023-W13","Outpatient",358
1190,"2023-W14","Outpatient",351
1197,"2023-W15","Outpatient",423
1204,"2023-W16","Outpatient",292
1211,"2023-W17","Outpatient",361
1218,"2023-W18","Outpatient",356
1225,"2023-W19","Outpatient",353
1232,"2023-W20","Outpatient",351
1239,"2023-W21","Outpatient",320
1246,"2023-W22","Outpatient",356
1253,"2023-W23","Outpatient",241
1260,"2023-W24","Outpatient",283
1267,"2023-W25","Outpatient",296
1274,"2023-W26","Outpatient",298
1281,"2023-W27","Outpatient",298
1288,"2023-W28","Outpatient",298
1295,"2023-W29","Outpatient",227
1302,"2023-W30","Outpatient",266
1309,"2023-W31","Outpatient",276
1316,"2023-W32","Outpatient",295
1323,"2023-W33","Outpatient",247
1330,"2023-W34","Outpatient",295
1337,"2023-W35","Outpatient",235
1344,"2023-W36","Outpatient",240
1351,"2023-W37","Outpatient",245
1358,"2023-W38","Outpatient",225
1365,"2023-W39","Outpatient",262
1372,"2023-W40","Outpatient",201
1379,"2023-W41","Outpatient",244
1386,"2023-W42","Outpatient",231
1393,"2023-W43","Outpatient",234
1400,"2023-W44","Outpatient",290
1407,"2023-W45","Outpatient",292
1414,"2023-W46","Outpatient",314
1421,"2023-W47","Outpatient",264
1428,"2023-W48","Outpatient",280
1435,"2023-W49","Outpatient",239
1442,"2023-W50","Outpatient",281
1449,"2023-W51","Outpatient",353
1456,"2023-W52","Outpatient",295
